12,09,2022,11,41,38,56.039,55.965,54.035,54.109,CW
12,09,2022,11,41,44,56.039,56.139,54.035,54.039,CW
12,09,2022,11,41,45,56.539,56.310,53.945,54.038,CW
12,09,2022,11,41,46,56.539,56.419,53.945,54.033,CW
12,09,2022,11,41,47,56.539,56.533,53.945,54.022,CW
12,09,2022,11,41,56,57.039,56.639,53.855,53.945,CW
12,09,2022,11,41,57,57.039,56.789,53.855,53.928,CW
12,09,2022,11,41,58,57.039,56.962,53.855,53.921,CW
12,09,2022,11,42,07,57.539,57.106,53.764,53.846,CW
12,09,2022,11,42,08,57.539,57.445,53.764,53.840,CW
12,09,2022,11,42,09,57.539,57.547,53.764,53.817,CW
12,09,2022,11,42,13,57.539,57.272,53.764,53.773,CW
12,09,2022,11,42,13,57.539,57.006,53.764,53.768,CW
12,09,2022,11,42,14,57.539,57.108,53.764,53.763,CW
12,09,2022,11,42,15,57.539,57.311,53.764,53.765,CW
12,09,2022,11,42,15,58.039,57.618,53.672,53.765,CW
12,09,2022,11,42,16,58.039,58.095,53.672,53.762,CW
12,09,2022,11,42,18,58.039,58.298,53.672,53.725,CW
12,09,2022,11,42,21,58.039,58.012,53.672,53.696,CW
12,09,2022,11,42,21,58.039,57.870,53.672,53.692,CW
12,09,2022,11,42,22,58.039,57.742,53.672,53.682,CW
12,09,2022,11,42,23,58.039,57.903,53.672,53.680,CW
12,09,2022,11,42,23,58.039,58.007,53.672,53.681,CW
12,09,2022,11,42,24,58.039,58.107,53.672,53.680,CW
12,09,2022,11,42,24,58.039,58.210,53.672,53.681,CW
12,09,2022,11,42,26,58.539,58.398,53.580,53.681,CW
12,09,2022,11,42,26,58.539,58.514,53.580,53.665,CW
12,09,2022,11,42,36,59.039,58.628,53.488,53.581,CW
12,09,2022,11,42,36,59.039,58.736,53.488,53.577,CW
12,09,2022,11,42,37,59.039,58.843,53.488,53.566,CW
12,09,2022,11,42,38,59.039,59.012,53.488,53.555,CW
12,09,2022,11,42,38,59.039,59.148,53.488,53.549,CW
12,09,2022,11,42,39,59.039,59.662,53.488,53.538,CW
12,09,2022,11,42,40,59.039,59.777,53.488,53.529,CW
12,09,2022,11,42,47,59.539,59.659,53.395,53.509,CW
12,09,2022,11,42,47,59.539,59.545,53.395,53.500,CW
12,09,2022,11,42,51,59.539,59.297,53.395,53.452,CW
12,09,2022,11,42,52,59.539,59.122,53.395,53.445,CW
12,09,2022,11,42,55,60.039,59.386,53.301,53.399,CW
12,09,2022,11,42,56,60.039,59.671,53.301,53.395,CW
12,09,2022,11,42,57,60.039,59.787,53.301,53.384,CW
12,09,2022,11,42,58,60.039,59.956,53.301,53.368,CW
12,09,2022,11,43,05,60.039,59.842,53.301,53.309,CW
12,09,2022,11,43,05,60.539,59.688,53.207,53.307,CW
12,09,2022,11,43,06,60.539,59.472,53.207,53.306,CW
12,09,2022,11,43,06,60.539,59.656,53.207,53.301,CW
12,09,2022,11,43,07,60.539,59.947,53.207,53.295,CW
12,09,2022,11,43,07,60.539,60.204,53.207,53.286,CW
12,09,2022,11,43,08,60.539,60.307,53.207,53.273,CW
12,09,2022,11,43,09,60.539,60.412,53.207,53.268,CW
12,09,2022,11,43,09,60.539,60.616,53.207,53.264,CW
12,09,2022,11,43,10,60.539,60.759,53.207,53.253,CW
12,09,2022,11,43,13,60.539,60.876,53.207,53.214,CW
12,09,2022,11,43,17,61.039,61.193,53.113,53.196,CW
12,09,2022,11,43,22,61.039,61.017,53.113,53.132,CW
12,09,2022,11,43,23,61.039,60.721,53.113,53.119,CW
12,09,2022,11,43,24,61.039,60.847,53.113,53.115,CW
12,09,2022,11,43,25,61.039,60.991,53.113,53.115,CW
12,09,2022,11,43,25,61.539,61.098,53.018,53.115,CW
12,09,2022,11,43,26,61.539,61.321,53.018,53.104,CW
12,09,2022,11,43,27,61.539,61.485,53.018,53.093,CW
12,09,2022,11,43,36,62.039,61.682,52.922,53.011,CW
12,09,2022,11,43,37,62.039,61.804,52.922,53.004,CW
12,09,2022,11,43,38,62.039,61.963,52.922,52.993,CW
12,09,2022,11,43,39,62.039,62.076,52.922,52.974,CW
12,09,2022,11,43,46,62.539,62.238,52.826,52.913,CW
12,09,2022,11,43,47,62.539,62.341,52.826,52.906,CW
12,09,2022,11,43,48,62.539,62.526,52.826,52.890,CW
12,09,2022,11,43,49,62.539,62.724,52.826,52.885,CW
12,09,2022,11,43,49,62.539,62.996,52.826,52.879,CW
12,09,2022,11,43,52,62.539,63.252,52.826,52.850,CW
12,09,2022,11,43,57,63.039,63.121,52.729,52.814,CW
12,09,2022,11,44,03,63.039,63.032,52.729,37.262,CW
12,09,2022,11,44,03,63.039,63.032,52.729,52.707,CW
12,09,2022,11,44,09,63.539,63.138,52.632,52.666,CW
12,09,2022,11,44,09,63.539,63.243,52.632,52.659,CW
12,09,2022,11,44,10,63.539,63.378,52.632,52.647,CW
12,09,2022,11,44,11,63.539,63.548,52.632,52.639,CW
12,09,2022,11,44,14,63.539,63.664,52.632,52.637,CW
